Order_ID;Order_Date;Year;Month;Quarter;Country;City;Region;Product;Product Line;Category;Customer Segment;Sales Channel;Retailer;Units Sold;Unit Price;Gross Revenue;Discount %;Discount Amount;Net Revenue;Cost;Profit;Profit Margin;Order Priority;Payment Method
100001;16/10/25;2025;Oct;Q4;UAE;Dubai;Middle East;Dri-FIT Running Tee;Clothing;Running;Men;Online;Nike App;5;$42.18;$210.90;5%;$10.54;$200.36;$90.53;$109.83;54.80%;Standard;Apple Pay
100002;28/01/24;2024;Jan;Q1;Mexico;Mexico City;North America;Heritage Backpack;Accessories;Lifestyle;Men;Store;Nike Store;1;$58.95;$58.95;0%;$0.00;$58.95;$27.84;$31.11;52.80%;Standard;Credit Card
100003;10/12/24;2024;Dec;Q4;UAE;Dubai;Middle East;Swoosh Sports Bra;Clothing;Training;Men;Mobile App;Nike App;10;$58.63;$586.30;10%;$58.63;$527.67;$277.71;$249.96;47.40%;Standard;Apple Pay
100004;05/10/25;2025;Oct;Q4;Egypt;Alexandria;Middle East;Nike Blazer Mid;Shoes;Lifestyle;Women;Online;JD Sports;4;$145.07;$580.28;25%;$145.07;$435.21;$320.21;$115.00;26.40%;High;Apple Pay
100005;09/04/25;2025;Apr;Q2;Kuwait;Kuwait City;Middle East;Nike Metcon 9;Shoes;Training;Men;Online;Amazon;7;$154.16;$1,079.12;10%;$107.91;$971.21;$583.05;$388.16;40.00%;Standard;Apple Pay
100006;03/10/24;2024;Oct;Q4;Kuwait;Kuwait City;Middle East;Club Fleece Joggers;Clothing;Sportswear;Women;Mobile App;Nike App;2;$82.09;$164.18;0%;$0.00;$164.18;$78.10;$86.08;52.40%;Standard;Credit Card
100007;03/08/25;2025;Aug;Q3;Oman;Muscat;Middle East;Nike Blazer Mid;Shoes;Lifestyle;Women;Store;Retail Partner;11;$144.31;$1,587.41;10%;$158.74;$1,428.67;$864.34;$564.33;39.50%;Standard;Apple Pay
100008;05/01/25;2025;Jan;Q1;France;Lyon;Europe;Training Gloves;Accessories;Training;Women;Mobile App;Nike App;12;$38.23;$458.76;0%;$0.00;$458.76;$195.96;$262.80;57.30%;High;Apple Pay
100009;29/01/25;2025;Jan;Q1;Netherlands;Rotterdam;Europe;Training Gloves;Accessories;Training;Men;Store;Nike Store;8;$38.39;$307.12;15%;$46.07;$261.05;$141.88;$119.17;45.70%;Standard;Credit Card
100010;10/06/24;2024;Jun;Q2;South Korea;Seoul;Asia Pacific;Dri-FIT Running Tee;Clothing;Running;Kids;Mobile App;Nike App;10;$45.97;$459.70;0%;$0.00;$459.70;$213.34;$246.36;53.60%;High;Apple Pay
